id,code,billing_name,billing_address,billing_type,billing_entity_id,billing_entity_name,billing_entity_role,billing_entity_role_name,billing_entity_json,,,,,,,,,,,,,,,,,,,,
19612,F-2310-00776CCW-L,67 ROOTS PTE LTD,970 TOA PAYOH NORTH  #03-15 Singapore 318992,form_selected,24774,TenantEntity,landlord,Landlord,"{""name"": ""67 ROOTS PTE LTD"", ""refId"": 24774, ""address"": ""970 TOA PAYOH NORTH  #03-15 Singapore 318992"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""970 TOA PAYOH NORTH  #03-15 Singapore 318992"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""318992"", ""streetName"": ""TOA PAYOH NORTH"", ""unitNumber"": ""#03-15"", ""addressLine"": ""970 TOA PAYOH NORTH  #03-15 Singapore 318992"", ""blockNumber"": ""970"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
21357,F-2402-00196YWL-L,83 DESIGN & PRINT PTE. LTD.,"1 Corporation Drive  #07-10, REVV Singapore 619775",form_selected,30881,TenantEntity,landlord,Landlord,"{""name"": ""83 DESIGN & PRINT PTE. LTD."", ""refId"": 30881, ""address"": ""1 Corporation Drive  #07-10, REVV Singapore 619775"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""1 Corporation Drive  #07-10, REVV Singapore 619775"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""619775"", ""streetName"": ""Corporation Drive"", ""unitNumber"": ""#07-10"", ""addressLine"": ""1 Corporation Drive  #07-10, REVV Singapore 619775"", ""blockNumber"": ""1"", ""floorNumber"": """", ""buildingName"": ""REVV""}}",,,,,,,,,,,,,,,,,,,,
19375,F-2407-00884WSW-L,8EIGHT PTE LTD,"51 North Coast Avenue  #01-03, North Coast Lodge Singapore 756992",form_selected,30731,TenantEntity,landlord,Landlord,"{""name"": ""8EIGHT PTE LTD"", ""refId"": 30731, ""address"": ""51 North Coast Avenue  #01-03, North Coast Lodge Singapore 756992"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""51 North Coast Avenue  #01-03, North Coast Lodge Singapore 756992"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""756992"", ""streetName"": ""North Coast Avenue"", ""unitNumber"": ""#01-03"", ""addressLine"": ""51 North Coast Avenue  #01-03, North Coast Lodge Singapore 756992"", ""blockNumber"": ""51"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
20643,F-2207-00530LBH-R,A & D CLEANING SERVICES,"6001 BEACH ROAD  #02-58, GOLDEN MILE TOWER Singapore 199589",form_selected,26319,TenantEntity,landlord,Landlord,"{""name"": ""A & D CLEANING SERVICES"", ""refId"": 26319, ""address"": ""6001 BEACH ROAD  #02-58, GOLDEN MILE TOWER Singapore 199589"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""6001 BEACH ROAD  #02-58, GOLDEN MILE TOWER Singapore 199589"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""199589"", ""streetName"": ""BEACH ROAD"", ""unitNumber"": ""#02-58"", ""addressLine"": ""6001 BEACH ROAD  #02-58, GOLDEN MILE TOWER Singapore 199589"", ""blockNumber"": ""6001"", ""floorNumber"": """", ""buildingName"": ""GOLDEN MILE TOWER""}}",,,,,,,,,,,,,,,,,,,,
19470,F-2504-00446CLA-L,A FLUENT WEALTH PTE LTD,"6 Gambas Way  #08-06, Ascent@Gambas Singapore 756939",form_selected,30506,TenantEntity,landlord,Landlord,"{""name"": ""A FLUENT WEALTH PTE LTD"", ""refId"": 30506, ""address"": ""6 Gambas Way  #08-06, Ascent@Gambas Singapore 756939"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""6 Gambas Way  #08-06, Ascent@Gambas Singapore 756939"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""756939"", ""streetName"": ""Gambas Way"", ""unitNumber"": ""#08-06"", ""addressLine"": ""6 Gambas Way  #08-06, Ascent@Gambas Singapore 756939"", ""blockNumber"": ""6"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
19473,F-2501-00087CLA-S,A FLUENT WEALTH PTE LTD,"11 WOODLANDS CLOSE  #09-45, WOODLANDS 11 Singapore 737853",form_selected,30506,TenantEntity,seller,Seller,"{""name"": ""A FLUENT WEALTH PTE LTD"", ""refId"": 30506, ""address"": ""11 WOODLANDS CLOSE  #09-45, WOODLANDS 11 Singapore 737853"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""11 WOODLANDS CLOSE  #09-45, WOODLANDS 11 Singapore 737853"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""737853"", ""streetName"": ""WOODLANDS CLOSE"", ""unitNumber"": ""#09-45"", ""addressLine"": ""11 WOODLANDS CLOSE  #09-45, WOODLANDS 11 Singapore 737853"", ""blockNumber"": ""11"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
21494,F-2005-00005NT-L,A REFINER'S HALLMARK PTE LTD,"10 ADMIRALTY STREET , NORTH LINK BUILDING Singapore 757695",form_selected,28392,TenantEntity,landlord,Landlord,"{""name"": ""A REFINER'S HALLMARK PTE LTD"", ""refId"": 28392, ""address"": ""10 ADMIRALTY STREET , NORTH LINK BUILDING Singapore 757695"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""10 ADMIRALTY STREET , NORTH LINK BUILDING Singapore 757695"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""757695"", ""streetName"": ""ADMIRALTY STREET"", ""unitNumber"": """", ""addressLine"": ""10 ADMIRALTY STREET , NORTH LINK BUILDING Singapore 757695"", ""blockNumber"": ""10"", ""floorNumber"": """", ""buildingName"": ""NORTH LINK BUILDING""}}",,,,,,,,,,,,,,,,,,,,
22303,F-2110-00440RO-L,A.K.LEE ENTERPRISES PTE LTD,16 Jalan Samulun  Singapore 629132,form_selected,28813,TenantEntity,landlord,Landlord,"{""name"": ""A.K.LEE ENTERPRISES PTE LTD"", ""refId"": 28813, ""address"": ""16 Jalan Samulun  Singapore 629132"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""16 Jalan Samulun  Singapore 629132"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""629132"", ""streetName"": ""Jalan Samulun"", ""unitNumber"": """", ""addressLine"": ""16 Jalan Samulun  Singapore 629132"", ""blockNumber"": ""16"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
22305,F-2109-00404RO-L,A.K.LEE ENTERPRISES PTE LTD,16 Jalan Samulun  Singapore 629132,form_selected,28813,TenantEntity,landlord,Landlord,"{""name"": ""A.K.LEE ENTERPRISES PTE LTD"", ""refId"": 28813, ""address"": ""16 Jalan Samulun  Singapore 629132"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""16 Jalan Samulun  Singapore 629132"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""629132"", ""streetName"": ""Jalan Samulun"", ""unitNumber"": """", ""addressLine"": ""16 Jalan Samulun  Singapore 629132"", ""blockNumber"": ""16"", ""floorNumber"": """", ""buildingName"": """"}}",,,,,,,,,,,,,,,,,,,,
20621,F-2505-00691LBH-L,A.MAX PTE LTD,20 KAKI BUKIT INDUSTRIAL TERRACE  Singapore 416100,form_selected,26280,TenantEntity,landlord,Landlord,"{""name"": ""A.MAX PTE LTD"", ""refId"": 26280, ""address"": ""20 KAKI BUKIT INDUSTRIAL TERRACE  Singapore 416100"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""20 KAKI BUKIT INDUSTRIAL TERRACE  Singapore 416100"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""416100"", ""streetName"": ""KAKI BUKIT INDUSTRIAL TERRACE"", ""unitNumber"": """", ""addressLine"": ""20 KAKI BUKIT INDUSTRIAL TERRACE  Singapore 416100"", ""blockNumber"": ""20"", ""floorNumber"": """", ""buildingName"": ""KAKI BUKIT INDUSTRIAL TERRACE""}}",,,,,,,,,,,,,,,,,,,,
20626,F-2504-00448LBH-L,A.MAX PTE LTD,20 KAKI BUKIT INDUSTRIAL TERRACE  Singapore 416100,form_selected,26280,TenantEntity,landlord,Landlord,"{""name"": ""A.MAX PTE LTD"", ""refId"": 26280, ""address"": ""20 KAKI BUKIT INDUSTRIAL TERRACE  Singapore 416100"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""20 KAKI BUKIT INDUSTRIAL TERRACE  Singapore 416100"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""416100"", ""streetName"": ""KAKI BUKIT INDUSTRIAL TERRACE"", ""unitNumber"": """", ""addressLine"": ""20 KAKI BUKIT INDUSTRIAL TERRACE  Singapore 416100"", ""blockNumber"": ""20"", ""floorNumber"": """", ""buildingName"": ""KAKI BUKIT INDUSTRIAL TERRACE""}}",,,,,,,,,,,,,,,,,,,,
21695,F-2404-00427TXQ-O,A4 INTERNATIONAL PTE LTD,"60 KAKI BUKIT PLACE  #10-19, EUNOS TECHPARK Singapore 415979",form_selected,30411,TenantEntity,662c4676-d2ce-4c11-a66d-856ef92057df,Other,"{""name"": ""A4 INTERNATIONAL PTE LTD"", ""refId"": 30411, ""address"": ""60 KAKI BUKIT PLACE  #10-19, EUNOS TECHPARK Singapore 415979"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""address"": ""60 KAKI BUKIT PLACE  #10-19, EUNOS TECHPARK Singapore 415979"", ""country"": ""Singapore"", ""district"": """", ""postalCode"": ""415979"", ""streetName"": ""KAKI BUKIT PLACE"", ""unitNumber"": ""#10-19"", ""addressLine"": ""60 KAKI BUKIT PLACE  #10-19, EUNOS TECHPARK Singapore 415979"", ""blockNumber"": ""60"", ""floorNumber"": """", ""buildingName"": ""EUNOS TECHPARK""}}",,,,,,,,,,,,,,,,,,,,
24047,F-2512-01796WSW-L,AA CREATION,6B BOSCOMBE ROAD SINGAPORE 439742,form_selected,32011,TenantEntity,landlord,Landlord,"{""name"": ""AA CREATION"", ""refId"": 32011, ""address"": ""6B BOSCOMBE ROAD SINGAPORE 439742"", ""refName"": ""TenantEntity"", ""metadata"": {""clientType"": ""company""}, ""addressObj"": {""country"": ""Singapore"", ""postalCode"": ""439742"", ""streetName"": ""BOSCOMBE ROAD"", ""addressLine"": ""6B BOSCOMBE ROAD SINGAPORE 439742"", ""blockNumber"": ""6B"", ""countryCode"": ""SG""}}",,,,,,,,,,,,,,,,,,,,
